"AEW541_ActArea","Nilotinib_ActArea","17-AAG_ActArea","PHA-665752_ActArea","Lapatinib_ActArea","Nutlin-3_ActArea","AZD0530_ActArea","PF2341066_ActArea","L-685458_ActArea","ZD-6474_ActArea","Panobinostat_ActArea","Sorafenib_ActArea","Irinotecan_ActArea","Topotecan_ActArea","LBW242_ActArea","PD-0325901_ActArea","PD-0332991_ActArea","Paclitaxel_ActArea","AZD6244_ActArea","PLX4720_ActArea","RAF265_ActArea","TAE684_ActArea","TKI258_ActArea","Erlotinib_ActArea"
2.1877,0.2699,4.3543,0.1706,0.7505,0.6725,1.0985,1.2498,0.02406,1.3419,4.9117,0.6547,3.78,4.3472,0.3585,3.0522,0.5327,6.9774,1.6626,0.02544,0.9746,2.9431,2.3504,0.3784
1.0673,0.5547,4.1622,0.2236,1.5373,0.3105,0.9751,0.4736,0.7761,1.772,4.2428,1.0741,4.6195,4.3889,0.6979,2.1154,0.1617,7.0402,1.6916,0.8798,1.7195,1.003,0.6742,1.82
0.3154,0.2714,3.4931,0.443,0.5471,0.4944,0.03487,0.8907,0.002326,0.2363,3.4181,0.2031,1.4987,1.6427,0.2053,1.3091,0.6737,4.303,0.4738,0.02147,1.4162,0.5188,0.477,0.07387
1.1466,0.03836,1.6136,0,0.7662,0.1525,1.4118,0,0.1271,1.2657,3.6886,0.4486,0.5537,1.1215,0.3552,1.8386,0.1423,4.8113,1.2769,0.4033,1.5667,0.729,0.9492,1.0932
0.8069,0.1628,2.2171,0.05675,0.7808,0.8298,2.8096,0.9416,0,2.2647,3.2458,0.4541,1.6298,2.3736,0.4269,1.0423,0,3.9946,0.5113,0.5086,1.4841,1.8094,0.6557,0.505
0.6633,0.4738,1.9145,0.02149,0.4059,0.1904,1.6623,0.4645,0.04782,1.7901,4.3211,0.1974,2.7736,2.203,0.286,0.9955,0.04275,3.9899,0.3716,0.2102,1.0566,0.3419,0.6265,0.4617
1.8968,2,5.2425,2.4817,1.3837,0.4315,1.59,1.8964,2.1175,2.539,5.6788,0.4556,NA,2.9373,1.4143,3.5032,2.7932,6.4774,4.5529,1.0346,1.4441,0.4255,1.7889,2.1284
0.408,NA,5.5988,0.1215,0.1532,0.7351,0,0.6252,0.1337,1.2894,4.9417,0.1223,NA,3.3541,0.1912,4.8727,NA,4.0908,3.4457,1.5993,1.965,0.4785,0.6291,0.08816
1.1574,0.1906,2.7651,0.3043,0.4486,0.834,1.6644,0.4754,0.7012,1.5469,3.2386,0.337,2.3962,2.4108,0.1215,1.5562,0.7256,4.304,0.703,0.2211,1.3821,0.8743,1.2307,0.8457
1.1858,0.7187,2.5327,0.4742,0.2998,1.0549,1.0293,0.8613,0.5854,1.563,3.9686,0.614,2.2281,1.1731,0.3676,2.1085,0.8757,4.1065,1.568,0.5119,0.8543,2.3855,0.007705,1.0015
